Id,Firstname,Surname,Born,Birth Location,Noble recieved,Motivation,Organization name,Organisation's Location
1,Wilhelm Conrad,Röntgen,1845-03-27,"Lennep (now Remscheid), Prussia (now Germany)",1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",Munich University,"Munich, Germany"
2,Pieter,Zeeman,1865-05-25,"Zonnemaire, the Netherlands",1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Amsterdam University,"Amsterdam, the Netherlands"
3,Hendrik A.,Lorentz,1853-07-18,"Arnhem, the Netherlands",1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Leiden University,"Leiden, the Netherlands"
4,Henri,Becquerel,1852-12-15,"Paris, France",1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",École Polytechnique,"Paris, France"
5,Pierre,Curie,1859-05-15,"Paris, France",1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),"Paris, France"
6,Marie,Curie,1867-11-07,"Warsaw, Russian Empire (now Poland)",1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",Paris-Sorbonne University (Université de Paris),"Paris, France"
7,Lord,Rayleigh,1842-11-12,"Langford Grove Maldon Essex, United Kingdom",1904,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",Royal Institution of Great Britain,"London, United Kingdom"
8,Philipp,Lenard,1862-06-07,"Pressburg (now Bratislava), Hungary (now Slovakia)",1905,"""for his work on cathode rays""",Kiel University,"Kiel, Germany"
9,J.J.,Thomson,1856-12-18,"Cheetham Hill, United Kingdom",1906,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",University of Cambridge,"Cambridge, United Kingdom"
10,Albert A.,Michelson,1852-12-19,"Strelno (now Strzelno), Prussia (now Poland)",1907,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",University of Chicago,"Chicago IL, USA"
11,Gabriel,Lippmann,1845-08-16,"Hollerich, Luxembourg",1908,"""for his method of reproducing colours photographically based on the phenomenon of interference""",Sorbonne University,"Paris, France"
12,Ferdinand,Braun,1850-06-06,"Fulda, Hesse-Kassel (now Germany)",1909,"""in recognition of their contributions to the development of wireless telegraphy""",Strasbourg University,"Strasbourg, Germany (now France)"
13,Guglielmo,Marconi,1874-04-25,"Bologna, Italy",1909,"""in recognition of their contributions to the development of wireless telegraphy""",Marconi Wireless Telegraph Co. Ltd.,"London, United Kingdom"
14,Johannes Diderik,van der Waals,1837-11-23,"Leiden, the Netherlands",1910,"""for his work on the equation of state for gases and liquids""",Amsterdam University,"Amsterdam, the Netherlands"
15,Wilhelm,Wien,1864-01-13,"Gaffken (now Parusnoye), Prussia (now Russia)",1911,"""for his discoveries regarding the laws governing the radiation of heat""",Würzburg University,"Würzburg, Germany"
16,Gustaf,Dalén,1869-11-30,"Stenstorp, Sweden",1912,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",Swedish Gas-Accumulator Co.,"Lidingö Stockholm, Sweden"
17,Heike,Kamerlingh Onnes,1853-09-21,"Groningen, the Netherlands",1913,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",Leiden University,"Leiden, the Netherlands"
18,Max,von Laue,1879-10-09,"Pfaffendorf, Germany",1914,"""for his discovery of the diffraction of X-rays by crystals""",Frankfurt-on-the-Main University,"Frankfurt-on-the-Main, Germany"
19,William,Bragg,1862-07-02,"Wigton, United Kingdom",1915,"""for their services in the analysis of crystal structure by means of X-rays""",University College,"London, United Kingdom"
20,Lawrence,Bragg,1890-03-31,"Adelaide, Australia",1915,"""for their services in the analysis of crystal structure by means of X-rays""",Victoria University,"Manchester, United Kingdom"
21,Charles Glover,Barkla,1877-06-07,"Widnes, United Kingdom",1917,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",Edinburgh University,"Edinburgh, United Kingdom"
22,Max,Planck,1858-04-23,"Kiel, Schleswig (now Germany)",1918,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",Berlin University,"Berlin, Germany"
23,Johannes,Stark,1874-04-15,"Schickenhof, Germany",1919,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",Greifswald University,"Greifswald, Germany"
24,Charles Edouard,Guillaume,1861-02-15,"Fleurier, Switzerland",1920,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",Bureau International des Poids et Mesures (International Bureau of Weights and Measures),"Sèvres, France"
25,Albert,Einstein,1879-03-14,"Ulm, Germany",1921,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,"Berlin, Germany"
26,Niels,Bohr,1885-10-07,"Copenhagen, Denmark",1922,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",Copenhagen University,"Copenhagen, Denmark"
